Org_name,Latitude,Longitude,Street_address,Area of the city,zip,City,state,Division,Subdivision,Category,Website
Connections Abused Women & Their Children,41.901496,-87.707581,1118 N Kedzie Ave,,60651,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.cawc.org/cawc-program-stats/
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.family-focus.org/how-we-help/programs-services
Family Rescue Inc,41.7280317,-87.5514868,9210 S Commercial Ave,North Lawndale,,Chicago,Illinois,Stabilization Supports,Health,Counseling,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
Horizons for Youth,41.8803934,-87.6443738,703 W Monroe St,West Loop Gate,60661,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://horizons-for-youth.org/programs/
Housing Opportunities for Women,42.019196,-87.671522,1607 Howard St ,,60626,Chicago,Illinois,Stabilization Supports,Health,Counseling,https://www.how-inc.org/services
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://howardarea.org/adults/
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.habilitative.org/hsiservices/adultservicesmenu
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://www.habilitative.org/hsiservices/adultservicesmenu
Life-Span,41.885742,-87.629801,70 Lake St #700,,60601,Chicago,Illinois,Stabilization Supports,Health,Counseling,http://life-span.org/services/counseling-services
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd Street,Roseland,60628,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7784729,-87.6446084,6343 S Halsted St,Englewood,60621,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd St,Roseland,60628,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7302877,-87.5488832,3062 E 91St St,South Chicago,60617,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7754406,-87.6093209,6543 S Champlain Ave,Woodlawn,60637,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.776343,-87.7032237,6422 S Kedzie Ave,Chicago Lawn,60629,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd St,West Lawn,60629,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd Street,West Lawn,60629,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7788532,-87.7037811,3215 W 63Rd St,Chicago Lawn,60629,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.796572,-87.6599405,5338 S Loomis Blvd,New City,60609,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn Street,Loop,60602,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn St,Loop,60629,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9400652,-87.7664048,3249 N Central Avenue,Portage Park,60634,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9402413,-87.7664112,3255 N Central Ave,Portage Park,60634,,Illinois,Stabilization Supports,Health,Counseling,https://www.metrofamily.org/about-us/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Health,Energy emergency assistance,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization supports,Health,Energy emergency assistance,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization supports,Health,Energy emergency assistance,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Health,Energy emergency assistance,http://howardarea.org/adults/
Alliance of the Southeast,41.7280317,-87.5514868,9206 S Commercial Ave,South Chicago,60617,Chicago,Illinois,Stabilization supports,Health,Health advocacy,http://www.asechicago.org/
EverThrive,41.8963105,-87.659751,1256 W Chicago Ave,West Town,60642,Chicago,Illinois,Stabilization supports,Health,Health advocacy,http://www.everthriveil.org/initiatives/child-adolescent-health
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Health,Health services,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization supports,Health,Health services,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization supports,Health,Health services,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Health,Health services,http://howardarea.org/adults/
Lurie Children's,41.8963048,-87.6217428,225 E Chicago Ave,Near North Side,60611,Chicago,Illinois,Stabilization supports,Health,Health services,https://www.luriechildrens.org/en-us/Pages/index.aspx
Uhlich Children's Advantage Network dba UCANæ,41.8585365,-87.7089497,1615 S Christiana Ave,North Lawndale,60623,Chicago,Illinois,Stabilization Supports,Health,Mental health services,
Uhlich Children's Advantage Network dba UCANæ,41.8678031,-87.710441,1111 S Homan Ave,North Lawndale,60624,Chicago,Illinois,Stabilization Supports,Health,Mental health services,
Uhlich Children's Advantage Network dba UCANæ,41.9496101,-87.6991899,3737 N Mozart St,Irving Park East,60618,Chicago,Illinois,Stabilization Supports,Health,Mental health services,
Childserv,41.9871006,-87.8459179,8769 W Higgins Rd,O'Hare,60631,Chicago,Illinois,Stabilization Supports,Health,Mental health therapy,http://www.childserv.org/
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Health,Mental Health therapy,http://www.habilitative.org/hsiservices/adultservicesmenu
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd Street,Roseland,60628,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7784729,-87.6446084,6343 S Halsted St,Englewood,60621,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd St,Roseland,60628,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7302877,-87.5488832,3062 E 91St St,South Chicago,60617,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7754406,-87.6093209,6543 S Champlain Ave,Woodlawn,60637,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.776343,-87.7032237,6422 S Kedzie Ave,Chicago Lawn,60629,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd St,West Lawn,60629,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd Street,West Lawn,60629,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7788532,-87.7037811,3215 W 63Rd St,Chicago Lawn,60629,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.796572,-87.6599405,5338 S Loomis Blvd,New City,60609,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn Street,Loop,60602,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn St,Loop,60629,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9400652,-87.7664048,3249 N Central Avenue,Portage Park,60634,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9402413,-87.7664112,3255 N Central Ave,Portage Park,60634,,Illinois,Stabilization Supports,Health,Mental Health therapy,https://www.metrofamily.org/about-us/
Austin People's Action Center,41.8947084,-87.7540449,5128 W Chicago Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,http://austinpeoplesactioncenter.org/programs/
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,http://www.family-focus.org/how-we-help/programs-services
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd Street,Roseland,60628,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7784729,-87.6446084,6343 S Halsted St,Englewood,60621,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd St,Roseland,60628,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7302877,-87.5488832,3062 E 91St St,South Chicago,60617,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7754406,-87.6093209,6543 S Champlain Ave,Woodlawn,60637,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.776343,-87.7032237,6422 S Kedzie Ave,Chicago Lawn,60629,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd St,West Lawn,60629,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.778596,-87.7195731,3843 W 63Rd Street,West Lawn,60629,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7788532,-87.7037811,3215 W 63Rd St,Chicago Lawn,60629,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.796572,-87.6599405,5338 S Loomis Blvd,New City,60609,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn Street,Loop,60602,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.8820298,-87.6292564,1 N Dearborn St,Loop,60629,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9400652,-87.7664048,3249 N Central Avenue,Portage Park,60634,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.9402413,-87.7664112,3255 N Central Ave,Portage Park,60634,,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://www.metrofamily.org/about-us/
New Moms Inc,41.894717,-87.7588602,5317 W Chicago Ave,Austin,60651,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,https://newmoms.org/what-we-do/programs/
Uhlich Children's Advantage Network dba UCANæ,41.8585365,-87.7089497,1615 S Christiana Ave,North Lawndale,60623,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,
Uhlich Children's Advantage Network dba UCANæ,41.8678031,-87.710441,1111 S Homan Ave,North Lawndale,60624,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,
Uhlich Children's Advantage Network dba UCANæ,41.9496101,-87.6991899,3737 N Mozart St,Irving Park East,60618,Chicago,Illinois,Stabilization Supports,Health,Pregnancy/Parenthood/early childcare,
Chicago Home Tutor*,41.994478,-87.68504,2210 W Granville Ave,West Ridge,60659,Chicago,Illinois,Stabilization Supports,Health,Psych evaluation,http://chicagohometutor.com/
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Health,Psych evaluation,http://www.habilitative.org/hsiservices/adultservicesmenu
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization supports,Health,Re-integration of imental health institutionalized people ,http://www.habilitative.org/hsiservices/adultservicesmenu
Smart Chicago,41.9316225,-87.7130647,3415 W Diversey Ave,Logan Square,60647,Chicago,Illinois,Stabilization Supports,Justice/Legal,Community re-entry services (from the criminal justice system),
Domestic Violence Legal Clinic,41.873837,-87.641668,555 W Harrison St,,60607,Chicago,Illinois,Stabilization Supports,Justice/Legal,Immigration,
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Stabilization Supports,Justice/Legal,Immigration,
Illinois  Justice Project,41.881613,-87.6301164,21 S Clark St,Loop,60603,Chicago,Illinois,Stabilization Supports,Justice/Legal,Justice advocacy,http://www.iljp.org/end-indiscriminate-shackling-of-juveniles/
Chicago Urban League,41.768594,-87.6462336,850 W 69Th St,Englewood,,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,
Chinese American Service League,41.854391,-87.63558,2155 S Tan Ct,,60616,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,https://www.caslservice.org/
Connections Abused Women & Their Children,41.901496,-87.707581,1119 N Kedzie Ave,,60651,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,http://www.cawc.org/cawc-program-stats/
Domestic Violence Legal Clinic,41.873837,-87.641668,555 W Harrison St,,60607,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,
Frida Kahlo Organization,41.8580439,-87.6580779,1244 W 18Th St,Lower West Side,60608,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392865-Frida_Kahlo_Community_Organization
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,
Lawyers' Committee For Better Housing,41.882827,-87.632047,33 North Lasalle Street,,60602,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,http://lcbh.org/
Life-Span,41.885742,-87.629801,70 Lake St #700,,60601,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,http://life-span.org/services
Neopolitan Lighthouse ,41.897447,-87.710235,864 N Christiana Ave,Humboldt Park,,Chicago,Illinois,Stabilization Supports,Justice/Legal,Legal assistance,https://www.nhschicago.org/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Justice/Legal,Re-integration of incarerated people ,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization supports,Justice/Legal,Re-integration of incarerated people ,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization supports,Justice/Legal,Re-integration of incarerated people ,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization supports,Justice/Legal,Re-integration of incarerated people ,http://howardarea.org/adults/
Alliance of the Southeast,41.7280317,-87.5514868,9207 S Commercial Ave,South Chicago,60617,Chicago,Illinois,Stabilization supports,Justice/Legal,Restorative Justice,http://www.asechicago.org/
I Grow Chicago,41.777353,-87.670586,6402 S Honore St,West Englewood,60636,Chicago,Illinois,Stabilization supports,Justice/Legal,Restorative Justice,http://www.igrowchicago.org/programs/
North Lawndale Employment Network,41.8727918,-87.7191716,3726 W Flournoy St,East Garfield Park,,Chicago,Illinois,Stabilization supports,Justice/Legal,Restorative Justice,http://www.nlen.org/programs/
Education Systems at NIU,41.9631684,-87.6664396,4450 N Clark St,Uptown,60640,,Illinois,Education and skill building supports,Post-Secondary Education,Career focused instruction,
Chicago Home Tutor*,41.994478,-87.68504,2206 W Granville Ave,West Ridge,60659,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary access supports,http://chicagohometutor.com/
"Chicago Youth Boxing Club, Inc.",41.849641,-87.716496,2300 S Millard Ave,,60623,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary access supports,http://chicagoyouthboxingclub.org/
Chinese American Service League,41.854391,-87.63558,2141 S Tan Ct,,60616,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary access supports,https://www.caslservice.org/
Gear Up,41.89612,-87.648312,770 N Halsted Stæ,,60642,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary access supports,http://www.chicagogearup.org/about-gear-up.html
Horizons for Youth,41.8803934,-87.6443738,703 W Monroe St,West Loop Gate,60661,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary access supports,http://horizons-for-youth.org/programs/
Alternative Schools Network,41.9631175,-87.6748518,1807 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary transition supports,http://www.asnchicago.org/ys3
Easter Seals Metro Chicago,41.8646946,-87.6748055,1939 W 13Th St,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary transition supports,http://www.easterseals.com/chicago/
Genesys Works,41.885519,-87.626548,180 N. Wabash Ave.,,60601,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary transition supports,http://www.genesysworks.org/model-impact/
Horizons for Youth,41.8803934,-87.6443738,703 W Monroe St,West Loop Gate,60661,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary transition supports,http://horizons-for-youth.org/programs/
Education Systems at NIU,41.9631684,-87.6664396,4450 N Clark St,Uptown,60640,,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary transitions and support,
Family Matters,41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Post-Secondary Education,Post-secondary transitions and support,
Changing Life Education Initiative,41.756497,-87.635087,404 W 76Th St,,60620,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://www.changinglifeinc.com/
Changing Life Education Initiative,41.756497,-87.635087,405 W 76Th St,,60620,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,
Chicago Horticultural Society DBA Chicago Botanic Garden,42.148972,-87.789693,1000 Lake Cook Rd,,60022,Glencoe ,Illinois,Job Training and Placement Supports,Pre-employment Training,internships,
Chinese American Service League,41.854391,-87.63558,2147 S Tan Ct,,60616,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,https://www.caslservice.org/
Circesteem Inc.,41.968157,-87.655004,4733 N Sheridan Rd,,60640,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://circesteem.org/services/circesteem-scholarship-fund/
Genesys Works,41.885519,-87.626548,182 N. Wabash Ave.,,60601,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://www.genesysworks.org/model-impact/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://howardarea.org/adults/
"Mikva Challenge Grant Foundation, Inc. dba Mikva Challenge",41.8774802,-87.6244466,332 S Michigan Ave,Loop,60604,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Internships,http://www.mikvachallenge.org/
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8567 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job placement,http://www.envisionunlimited.org/
Ron's Staffing Services,41.8479551,-87.6852173,2413 S Western Ave,Lower West Side,60608,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job placement,http://www.ronsstaffingservices.com/
Changing Life Education Initiative,41.756497,-87.635087,406 W 76Th St,,60620,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,
Chicago Home Tutor*,41.994478,-87.68504,2209 W Granville Ave,West Ridge,60659,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://chicagohometutor.com/
"Chicago Youth Boxing Club, Inc.",41.849641,-87.716496,2302 S Millard Ave,,60623,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://chicagoyouthboxingclub.org/
Chinese American Service League,41.854391,-87.63558,2148 S Tan Ct,,60616,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,https://www.caslservice.org/
Dreams for Kids,41.878272,-87.6480603,820 W Jackson Blvd,Near West Side,60607,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://dreamsforkids.org/
Genesys Works,41.885519,-87.626548,183 N. Wabash Ave.,,60601,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://www.genesysworks.org/model-impact/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://howardarea.org/adults/
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,
Leaders Up,41.87647,-87.648036,815 W Van Buren,West Loop,60607,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://www.leadersup.org/community/
North Lawndale Employment Network,41.8727918,-87.7191716,3726 W Flournoy St,East Garfield Park,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,http://www.nlen.org/programs/
Chicago Urban League,41.768594,-87.6462336,847 W 69Th St,Englewood,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job readiness / soft skills training ,
Alternative Schools Network,41.9631175,-87.6748518,1817 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://www.asnchicago.org/ys3
Chicago Lighthouse,41.8672328,-87.6724245,1853 W Roosevelt Rd,Near West Side,60608,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://chicagolighthouse.org/
Chinese American Service League,41.854391,-87.63558,2149 S Tan Ct,,60616,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,https://www.caslservice.org/
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8568 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://www.envisionunlimited.org/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://howardarea.org/adults/
Leaders Up,41.87647,-87.648036,815 W Van Buren,West Loop,60607,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://www.leadersup.org/community/
Leave No Veteran Behind Incorporated,41.881397,-87.631864,19 S Lasalle St,,60603,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,https://www.leavenoveteranbehind.org/retroactive-scholarship
New Moms Inc,41.894717,-87.7588602,5317 W Chicago Ave,Austin,60651,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,https://newmoms.org/what-we-do/programs/
